Job Title,Company,Location,Apply Link,Source,Date Posted,Type,Salary,Description
"iOS Software Engineer, Host Pricing",Airbnb,"Remote, USA",https://careers.airbnb.com/positions/7822751?gh_jid=7822751,greenhouse,2026-04-16,Full-time,,
"Software Engineer, Guest & Host ",Airbnb,"Remote, USA ",https://careers.airbnb.com/positions/7579462?gh_jid=7579462,greenhouse,2026-04-23,Full-time,,
"Fullstack Engineer, Privy",Stripe,"NYC-Privy, US-Remote ",https://stripe.com/jobs/search?gh_jid=7091959,greenhouse,2026-04-24,Full-time,,
Software Engineer L2,Stripe,"Seattle, WA",https://stripe.com/jobs/search?gh_jid=7812279,greenhouse,2026-04-24,Full-time,,
"Software Engineer, Product Security Data Platforms",Stripe,Seattle,https://stripe.com/jobs/search?gh_jid=7761694,greenhouse,2026-04-24,Full-time,,
"Software Engineer, DevSec",Coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7595352?gh_jid=7595352,greenhouse,2026-04-10,Full-time,,
Software Engineer - Full Stack (EAA - Compliance),Coinbase,Remote - USA,https://www.coinbase.com/careers/positions/6233713?gh_jid=6233713,greenhouse,2026-04-24,Full-time,,
"Android Software Engineer, Mobile Experience",Dropbox,Remote - US: Select locations,https://jobs.dropbox.com/listing/7469388?gh_jid=7469388,greenhouse,2026-04-10,Full-time,,
"Full Stack Software Engineer, Dash Experiences",Dropbox,Remote - US: Select locations,https://jobs.dropbox.com/listing/7569140?gh_jid=7569140,greenhouse,2026-04-10,Full-time,,
"Software Engineer I, Backend (Purchasing Power Experience)",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7673126003,greenhouse,2026-04-08,Full-time,,
"Software Engineer I, Full-Stack (Home and Search Experience)",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7685236003,greenhouse,2026-04-09,Full-time,,
"Software Engineer II, Backend (Credit Decisioning) ",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7597920003,greenhouse,2026-04-02,Full-time,,
"Software Engineer II, Backend (Identity Decisioning)   ",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7543978003,greenhouse,2026-04-10,Full-time,,
"Software Engineer II, Frontend (Purchasing Integrations)",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7687973003,greenhouse,2026-04-08,Full-time,,
Software Engineer II (ML Feature Platform),Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7694294003,greenhouse,2026-04-17,Full-time,,
"Software Engineering Apprentice, Full-Stack",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7647925003,greenhouse,2026-04-02,Full-time,,
Frontend Engineer II,Brex,"Seattle, Washington, United States",https://www.brex.com/careers/8478372002?gh_jid=8478372002,greenhouse,2026-04-11,Full-time,,
Systems PhD - Software Engineer ,Databricks,"Bellevue, Washington; Seattle, Washington",https://databricks.com/company/careers/open-positions/job?gh_jid=8482086002,greenhouse,2026-04-09,Full-time,,
"Software Engineer, Gov Tech",Lyft,"Seattle, WA",https://app.careerpuck.com/job-board/lyft/job/8483819002?gh_jid=8483819002,greenhouse,2026-03-27,Full-time,,
Software Engineer - Production Verification,Unity,"Remote, Florida, USA",https://unity.com/careers/positions/7684547?gh_jid=7684547,greenhouse,2026-04-01,Full-time,,
Software Engineer - SyncSketch,Unity,"Remote, USA",https://unity.com/careers/positions/7435113?gh_jid=7435113,greenhouse,2026-04-08,Full-time,,
"Software Engineer II, FedRamp (Remote Eligible)",Smartsheet," -REMOTE, USA-",https://job-boards.greenhouse.io/smartsheet/jobs/7712828,greenhouse,2026-04-22,Full-time,,
Software Engineer I - Secure Platform Operations (Remote Eligible),Smartsheet," -REMOTE, USA-",https://job-boards.greenhouse.io/smartsheet/jobs/7732551,greenhouse,2026-04-13,Full-time,,
Software Engineer,Twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7605743,greenhouse,2026-04-13,Full-time,,
Software Engineer (L2),Twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7188174,greenhouse,2026-04-16,Full-time,,
Software Engineer (L3),Twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7301401,greenhouse,2026-04-17,Full-time,,
